Date,Value
2004-09-01,"2,044736009"
2004-10-01,"2,135763948"
2004-11-01,"2,168105171"
2004-12-01,"2,075329865"
2005-01-01,"2,0284758"
2005-02-01,"1,987459833"
2005-03-01,"2,002896601"
2005-04-01,"2,053499619"
2005-05-01,"2,085767141"
2005-06-01,"2,11222356"
2005-07-01,"2,117065179"
2005-08-01,"2,102268628"
2005-09-01,"1,980076106"
2005-10-01,"2,147019734"
2005-11-01,"2,349701532"
2005-12-01,"2,301308796"
2006-01-01,"2,286192613"
2006-02-01,"2,323183407"
2006-03-01,"2,518025309"
2006-04-01,"2,544533532"
2006-05-01,"2,740160255"
2006-06-01,"2,822728835"
2006-07-01,"2,981374375"
2006-08-01,"3,214411571"
2006-09-01,"3,360611795"
2006-10-01,"3,391158065"
2006-11-01,"3,424142813"
2006-12-01,"3,479705216"
2007-01-01,"3,560590986"
2007-02-01,"3,619070613"
2007-03-01,"3,723536773"
2007-04-01,"3,751065934"
2007-05-01,"3,850033545"
2007-06-01,"3,910530391"
2007-07-01,"4,0068749"
2007-08-01,"3,816323647"
2007-09-01,"3,763280874"
2007-10-01,"3,847754097"
2007-11-01,"3,883795805"
2007-12-01,"3,964531198"
2008-01-01,"3,876699979"
2008-02-01,"4,053111975"
2008-03-01,"4,012205997"
2008-04-01,"4,024552739"
2008-05-01,"4,046689254"
2008-06-01,"4,159170089"
2008-07-01,"4,249132498"
2008-08-01,"4,278509907"
2008-09-01,"3,753696561"
2008-10-01,"4,258211165"
2008-11-01,"1,933333691"
2008-12-01,"1,624919774"
2009-01-01,"0,797281502"
2009-02-01,"0,409809309"
2009-03-01,"0,123994956"
2009-04-01,"0,27518215"
2009-05-01,"0,266165189"
2009-06-01,"0,171480824"
2009-07-01,"-0,46495675"
2009-08-01,"-0,730420142"
2009-09-01,"-0,420210122"
2009-10-01,"-0,119091039"
2009-11-01,"0,1340128"
2009-12-01,"0,192457787"
2010-01-01,"0,188979992"
2010-02-01,"0,02935569"
2010-03-01,"0,212222465"
2010-04-01,"0,336203019"
2010-05-01,"0,046410158"
2010-06-01,"0,397490304"
2010-07-01,"0,641787258"
2010-08-01,"0,535180136"
2010-09-01,"0,804366743"
2010-10-01,"0,959316086"
2010-11-01,"0,76461596"
2010-12-01,"0,521886411"
2011-01-01,"0,678463145"
2011-02-01,"0,636380055"
2011-03-01,"0,711470688"
2011-04-01,"0,858149516"
2011-05-01,"1,030455242"
2011-06-01,"1,340296095"
2011-07-01,"1,264552696"
2011-08-01,"0,962405788"
2011-09-01,"0,405395844"
2011-10-01,"0,57889285"
2011-11-01,"0,066368513"
2011-12-01,"-0,732679941"
2012-01-01,"-0,295047162"
2012-02-01,"-0,466779239"
2012-03-01,"-0,218043002"
2012-04-01,"-0,403268122"
2012-05-01,"-0,920817572"
2012-06-01,"-0,674337114"
2012-07-01,"-0,941258562"
2012-08-01,"-1,077314046"
2012-09-01,"-1,011392908"
2012-10-01,"-0,932999006"
2012-11-01,"-0,980478044"
2012-12-01,"-1,0864902"
2013-01-01,"-0,607395456"
2013-02-01,"-0,809911249"
2013-03-01,"-0,624940928"
2013-04-01,"-0,675102858"
2013-05-01,"-0,179574488"
2013-06-01,"0,519213211"
2013-07-01,"-0,418195944"
2013-08-01,"-0,223009492"
2013-09-01,"-0,409676631"
2013-10-01,"-0,378460224"
2013-11-01,"-0,289972356"
2013-12-01,"-0,118251929"
2014-01-01,"-0,490431888"
2014-02-01,"-0,601483358"
2014-03-01,"-0,695969674"
2014-04-01,"-0,734019569"
2014-05-01,"-0,824046262"
2014-06-01,"-0,860851079"
2014-07-01,"-0,957663625"
2014-08-01,"-1,338867366"
2014-09-01,"-1,332134977"
2014-10-01,"-1,550111866"
2014-11-01,"-1,885967647"
2014-12-01,"-2,249017863"
2015-01-01,"-2,631461357"
2015-02-01,"-2,561194014"
2015-03-01,"-2,596925685"
2015-04-01,"-2,004176661"
2015-05-01,"-2,347858878"
2015-06-01,"-2,340169931"
2015-07-01,"-2,564183625"
2015-08-01,"-2,40126045"
2015-09-01,"-2,559260053"
2015-10-01,"-2,729191541"
2015-11-01,"-2,860561359"
2015-12-01,"-2,56155938"
2016-01-01,"-3,221737547"
2016-02-01,"-3,676884766"
2016-03-01,"-3,762768702"
2016-04-01,"-3,624114982"
2016-05-01,"-3,811457463"
2016-06-01,"-4,335395503"
2016-07-01,"-4,544753098"
2016-08-01,"-4,521948806"
2016-09-01,"-4,569582325"
2016-10-01,"-3,624508185"
2016-11-01,"-4,177916483"
2016-12-01,"-4,52378545"
2017-01-01,"-4,623929659"
2017-02-01,"-5,322269992"
2017-03-01,"-5,375255655"
2017-04-01,"-5,334076893"
2017-05-01,"-5,502041904"
2017-06-01,"-5,135942321"
2017-07-01,"-5,184768413"
2017-08-01,"-5,43884353"
2017-09-01,"-5,256399299"
2017-10-01,"-5,318106724"
2017-11-01,"-5,222964945"
2017-12-01,"-4,825199632"
2018-01-01,"-4,718299996"
2018-02-01,"-5,146628193"
2018-03-01,"-5,476130645"
2018-04-01,"-5,595483808"
2018-05-01,"-6,134775427"
2018-06-01,"-6,340853607"
2018-07-01,"-6,290156487"
2018-08-01,"-6,401724057"
2018-09-01,"-6,22177625"
2018-10-01,"-6,174500608"
2018-11-01,"-6,235868067"
2018-12-01,"-6,154295073"
2019-01-01,"-6,339752054"
2019-02-01,"-6,292211203"
2019-03-01,"-6,602592404"
2019-04-01,"-6,443054672"
2019-05-01,"-6,827850074"
2019-06-01,"-7,086853806"
2019-07-01,"-7,34320122"
2019-08-01,"-7,823618739"
2019-09-01,"-7,719732194"
2019-10-01,"-7,418636105"
2019-11-01,"-7,174650938"
2019-12-01,"-6,403677482"
2020-01-01,"-6,912949536"
2020-02-01,"-7,339161167"
2020-03-01,"-6,999444646"
2020-04-01,"-7,27350355"
2020-05-01,"-7,141496647"
2020-06-01,"-7,361624797"
2020-07-01,"-7,535251265"
2020-08-01,"-7,180281195"
2020-09-01,"-7,62373771"
2020-10-01,"-7,807264326"
2020-11-01,"-7,726381093"
2020-12-01,"-7,682767203"
2021-01-01,"-7,352094004"
2021-02-01,"-6,233776882"
2021-03-01,"-6,382910836"
2021-04-01,"-6,135400993"
2021-05-01,"-6,037599098"
2021-06-01,"-6,057596571"
2021-07-01,"-6,664778301"
2021-08-01,"-6,639912105"
2021-09-01,"-5,817458806"
2021-10-01,"-4,774694731"
2021-11-01,"-5,360531645"
2021-12-01,"-5,264594657"
2022-01-01,"-5,006991972"
2022-02-01,"-5,287908212"
2022-03-01,"-4,131634468"
2022-04-01,"-3,551721512"
2022-05-01,"-3,078680155"
2022-06-01,"-0,949178316"
2022-07-01,"-1,578625405"
2022-08-01,"-0,725336208"
